"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","temp","DOmgL","DOsat","SpC","pH","ORP","PAR","metadataID","comments","updateID"
"15","MO_DeepHole_20230314_0830_point_0_Limno.Sample.20160505","MO","DeepHole","2023-03-14","2023-03-14 08:30:00","point","0","0","25","8",NA,NA,NA,NA,NA,"Limno.Sample.20160505",NA,NA
"15","MO_DeepHole_20230314_0830_point_0.5_Limno.Sample.20160505","MO","DeepHole","2023-03-14","2023-03-14 08:30:00","point","0.5","0.5","25","8",NA,NA,NA,NA,NA,"Limno.Sample.20160505",NA,NA
"15","MO_DeepHole_20230314_0830_point_1_Limno.Sample.20160505","MO","DeepHole","2023-03-14","2023-03-14 08:30:00","point","1","1","25","8",NA,NA,NA,NA,NA,"Limno.Sample.20160505",NA,NA
"15","MO_DeepHole_20230314_0830_point_2_Limno.Sample.20160505","MO","DeepHole","2023-03-14","2023-03-14 08:30:00","point","2","2","10","3",NA,NA,NA,NA,NA,"Limno.Sample.20160505",NA,NA
"15","MO_DeepHole_20230314_0830_point_3_Limno.Sample.20160505","MO","DeepHole","2023-03-14","2023-03-14 08:30:00","point","3","3","10","1",NA,NA,NA,NA,NA,"Limno.Sample.20160505",NA,NA
"15","MO_DeepHole_20230606_1113_point_0_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","0","0","24.1","6.75","80.1","88.1","6.85",NA,"1089","Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_0.25_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","0.25","0.25",NA,NA,NA,NA,NA,NA,"437.5","Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_0.5_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","0.5","0.5","24.1","6.76","80.3","88.2","7.13",NA,"209.7","Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_0.75_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","0.75","0.75",NA,NA,NA,NA,NA,NA,"123","Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_1_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","1","1","20.8","7.3","82","83.8","7.02",NA,"72","Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_1.5_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","1.5","1.5","13.7","6.57","63.4","84.2","6.86",NA,"25.81","Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_2_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","2","2","9.4","5.48","47.8","88.3","6.81",NA,"10.61","Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_2.5_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","2.5","2.5","6.9","5.07","41.5","88.7","6.81",NA,NA,"Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_3_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","3","3","5.5","4.79","38.1","89","6.83",NA,NA,"Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_3.5_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","3.5","3.5","4.8","5.17","40.4","89.2","6.85",NA,NA,"Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_4_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","4","4","4.5","2.5","19.3","92.3","6.81",NA,NA,"Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_4.5_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","4.5","4.5","4.4","0.16","1.1","96.6","6.79",NA,NA,"Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_5_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","5","5","4.5","0","0","103.7",NA,NA,NA,"Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_5.5_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","5.5","5.5","4.4","0.08","0.6","113.1",NA,NA,NA,"Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_6_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","6","6","4.4","0.07","0.6","129.5",NA,NA,NA,"Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_6.5_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","6.5","6.5","4.4","0.03","0.2","167.9",NA,NA,NA,"Limno.Sample.20230529","deck PAR: 1680.0",NA
"15","MO_DeepHole_20230606_1113_point_7_Limno.Sample.20230529","MO","DeepHole","2023-06-06","2023-06-06 11:13:00","point","7","7","4.4","0.06","0.4","228.1",NA,NA,NA,"Limno.Sample.20230529","deck PAR: 1680.0",NA
