"projectID","lakeID","siteID","sampleID","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","crew","weather","comments","metadataID","entryFile"
"15","MO","MO_DeepHole","MO_DeepHole_20230314_0830_point_0_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","point","0","0","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230314_0830_point_0.5_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","point","0.5","0.5","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230314_0830_point_1_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","point","1","1","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230314_0830_point_2_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","point","2","2","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230314_0830_point_3_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","point","3","3","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230314_0830_PML_1_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","PML","0","1","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230314_0830_hypo_3_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","hypo","3","3","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MO","MO_Inlet2","MO_Inlet2_20230314_0830_surface_0_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","surface","0","0","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MOST","MOST_01234","MOST_01234_20230314_0830_surface_0_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","surface","0","0","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MO","MO_WholeLake","MO_WholeLake_20230314_0830_staff_0_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","staff","0","0","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MO","MO_Inlet2","MO_Inlet2_20230314_0830_staff_0_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","staff","0","0","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MOST","MOST_01234","MOST_01234_20230314_0830_staff_0_Limno.Sample.20160505","2023-03-14","2023-03-14 08:30:00","staff","0","0","SEJ","sunny",NA,"Limno.Sample.20160505","limno2023_MO_2023-03-14.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_0_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","0","0","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_0.25_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","0.25","0.25","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_0.5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","0.5","0.5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_0.75_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","0.75","0.75","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_1_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","1","1","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_1.5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","1.5","1.5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_2_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","2","2","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_2.5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","2.5","2.5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_3_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","3","3","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_3.5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","3.5","3.5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_4_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","4","4","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_4.5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","4.5","4.5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","5","5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_5.5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","5.5","5.5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_6_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","6","6","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_6.5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","6.5","6.5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_point_7_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","point","7","7","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_PML_0.5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","PML","0","0.5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_hypo_5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","hypo","5","5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_Inlet2","MO_Inlet2_20230606_1113_surface_0_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","surface","0","0","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MOST","MOST_01370","MOST_01370_20230606_1113_surface_0_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","surface","0","0","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_Outlet","MO_Outlet_20230606_1113_surface_0_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","surface","0","0","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
"15","MO","MO_DeepHole","MO_DeepHole_20230606_1113_tow_5.5_Limno.Sample.20230529","2023-06-06","2023-06-06 11:13:00","tow","0","5.5","JCG, MRM","sunny, breezy, partly cloudy","deck PAR: 1680.0","Limno.Sample.20230529","limno2023_MO_2023-06-06.csv"
